benchmark,blocks,metric,reference,median_ratio,mad,ci95_low,ci95_high,passes_1p5pct_nonregression,improvement_exceeds_3mad
call-plain-primitive-property-zero-arg-5m.js,15,instructions,dual,0.997952947,0.000008435,0.997951869,0.997966112,yes,yes
call-plain-primitive-property-zero-arg-5m.js,15,instructions,guard,0.997966401,0.000008852,0.997947914,0.997970319,yes,yes
call-plain-property-zero-arg-10m.js,15,cycles,dual,0.992760030,0.001577010,0.991183021,0.994463462,yes,yes
call-plain-property-zero-arg-10m.js,15,cycles,guard,0.992374621,0.001027204,0.991673547,0.994008582,yes,yes
call-plain-property-zero-arg-10m.js,15,instructions,dual,0.997698594,0.000009441,0.997695820,0.997708439,yes,yes
call-plain-property-zero-arg-10m.js,15,instructions,guard,0.997701917,0.000007848,0.997690235,0.997706174,yes,yes
call-sloppy-method-arguments-exact-one-arg-1m.js,15,cycles,dual,1.001501686,0.003837343,0.999850059,1.005635450,yes,no
call-sloppy-method-arguments-exact-one-arg-1m.js,15,cycles,guard,1.003793173,0.001917039,1.001632214,1.004267782,yes,no
call-sloppy-method-arguments-exact-one-arg-1m.js,15,instructions,dual,1.004475880,0.000007345,1.004468536,1.004484798,yes,no
call-sloppy-method-arguments-exact-one-arg-1m.js,15,instructions,guard,1.004479276,0.000012785,1.004465729,1.004485450,yes,no
call-sloppy-method-arguments-missing-one-arg-1m.js,15,cycles,dual,1.000654566,0.003277385,0.997377181,1.003968459,yes,no
call-sloppy-method-arguments-missing-one-arg-1m.js,15,cycles,guard,0.994406004,0.006851372,0.987554632,1.004233907,yes,no
call-sloppy-method-arguments-missing-one-arg-1m.js,15,instructions,dual,0.999208172,0.000015085,0.999197357,0.999227361,yes,yes
call-sloppy-method-arguments-missing-one-arg-1m.js,15,instructions,guard,0.999211974,0.000015499,0.999196475,0.999230228,yes,yes
call-sloppy-primitive-method-zero-arg-5m.js,15,cycles,dual,0.993811632,0.002241749,0.991346048,0.994339151,yes,no
call-sloppy-primitive-method-zero-arg-5m.js,15,cycles,guard,0.992816015,0.000646829,0.992525104,0.993563527,yes,yes
call-sloppy-primitive-method-zero-arg-5m.js,15,instructions,dual,0.997950558,0.000007411,0.997945020,0.997957969,yes,yes
call-sloppy-primitive-method-zero-arg-5m.js,15,instructions,guard,0.997947206,0.000008289,0.997942147,0.997959976,yes,yes
call-strict-add-two-arg-10m.js,15,cycles,dual,0.996018746,0.003887354,0.990433233,0.999444599,yes,no
call-strict-add-two-arg-10m.js,15,cycles,guard,0.969914031,0.005086241,0.961642968,0.974155778,yes,yes
call-strict-add-two-arg-10m.js,15,instructions,dual,0.997403246,0.000007182,0.997396065,0.997415367,yes,yes
call-strict-add-two-arg-10m.js,15,instructions,guard,0.955252886,0.000005214,0.955244702,0.955256227,yes,yes
call-strict-arguments-missing-one-arg-1m.js,15,cycles,dual,1.000285094,0.002502051,0.998639158,1.006549980,yes,no
call-strict-arguments-missing-one-arg-1m.js,15,cycles,guard,1.005062159,0.004801803,0.998216493,1.009137496,yes,no
call-strict-arguments-missing-one-arg-1m.js,15,instructions,dual,0.999078719,0.000012162,0.999074878,0.999104111,yes,yes
call-strict-arguments-missing-one-arg-1m.js,15,instructions,guard,0.999088855,0.000015341,0.999074999,0.999099365,yes,yes
call-strict-method-arguments-cold-exact-one-arg-1m.js,15,cycles,dual,0.992857501,0.001584436,0.991066974,0.994441937,yes,yes
call-strict-method-arguments-cold-exact-one-arg-1m.js,15,cycles,guard,0.989343272,0.004802028,0.982346450,0.992992277,yes,no
call-strict-method-arguments-cold-exact-one-arg-1m.js,15,instructions,dual,0.999241300,0.000026215,0.999213059,0.999257424,yes,yes
call-strict-method-arguments-cold-exact-one-arg-1m.js,15,instructions,guard,0.992851050,0.000020084,0.992830966,0.992882018,yes,yes
call-strict-method-arguments-cold-missing-one-arg-1m.js,15,cycles,dual,0.995684542,0.007510487,0.993057292,1.012489159,yes,no
call-strict-method-arguments-cold-missing-one-arg-1m.js,15,cycles,guard,0.995218592,0.006552459,0.990776865,1.003988682,yes,no
call-strict-method-arguments-cold-missing-one-arg-1m.js,15,instructions,dual,0.999104801,0.000028559,0.999076242,0.999120468,yes,yes
call-strict-method-arguments-cold-missing-one-arg-1m.js,15,instructions,guard,0.991661248,0.000011673,0.991639310,0.991669557,yes,yes
call-strict-method-arguments-exact-one-arg-1m.js,15,cycles,dual,0.990523114,0.003657218,0.986865896,0.999918252,yes,no
