benchmark,block,position,binary,instructions,cycles,output_sha256
fib30x3.js,8,1,guard,5426642548,987472693,f3cb9927b69c642ccc86f00960a34476e3ae2c77931a68c94b632392adabaedd
fib30x3.js,8,2,dual,5083290124,914898504,f3cb9927b69c642ccc86f00960a34476e3ae2c77931a68c94b632392adabaedd
fib30x3.js,8,3,candidate,5067012615,917264972,f3cb9927b69c642ccc86f00960a34476e3ae2c77931a68c94b632392adabaedd
fib30x3.js,8,4,candidate,5067077524,921739172,f3cb9927b69c642ccc86f00960a34476e3ae2c77931a68c94b632392adabaedd
fib30x3.js,8,5,dual,5083389317,924337865,f3cb9927b69c642ccc86f00960a34476e3ae2c77931a68c94b632392adabaedd
fib30x3.js,8,6,guard,5426677464,979137607,f3cb9927b69c642ccc86f00960a34476e3ae2c77931a68c94b632392adabaedd
fib30x3.js,9,1,guard,5426648682,973157255,f3cb9927b69c642ccc86f00960a34476e3ae2c77931a68c94b632392adabaedd
fib30x3.js,9,2,dual,5083165236,923835932,f3cb9927b69c642ccc86f00960a34476e3ae2c77931a68c94b632392adabaedd
fib30x3.js,9,3,candidate,5067048191,918843678,f3cb9927b69c642ccc86f00960a34476e3ae2c77931a68c94b632392adabaedd
fib30x3.js,9,4,candidate,5067260019,917896479,f3cb9927b69c642ccc86f00960a34476e3ae2c77931a68c94b632392adabaedd
fib30x3.js,9,5,dual,5083254188,923173973,f3cb9927b69c642ccc86f00960a34476e3ae2c77931a68c94b632392adabaedd
fib30x3.js,9,6,guard,5426721379,973934715,f3cb9927b69c642ccc86f00960a34476e3ae2c77931a68c94b632392adabaedd
fib30x3.js,10,1,guard,5426865058,978009180,f3cb9927b69c642ccc86f00960a34476e3ae2c77931a68c94b632392adabaedd
fib30x3.js,10,2,dual,5083335785,916609795,f3cb9927b69c642ccc86f00960a34476e3ae2c77931a68c94b632392adabaedd
fib30x3.js,10,3,candidate,5067020447,916987670,f3cb9927b69c642ccc86f00960a34476e3ae2c77931a68c94b632392adabaedd
fib30x3.js,10,4,candidate,5067082220,924785242,f3cb9927b69c642ccc86f00960a34476e3ae2c77931a68c94b632392adabaedd
fib30x3.js,10,5,dual,5083230619,919282819,f3cb9927b69c642ccc86f00960a34476e3ae2c77931a68c94b632392adabaedd
fib30x3.js,10,6,guard,5426713056,979123953,f3cb9927b69c642ccc86f00960a34476e3ae2c77931a68c94b632392adabaedd
fib30x3.js,11,1,guard,5426581287,977583011,f3cb9927b69c642ccc86f00960a34476e3ae2c77931a68c94b632392adabaedd
fib30x3.js,11,2,dual,5083226759,914628263,f3cb9927b69c642ccc86f00960a34476e3ae2c77931a68c94b632392adabaedd
fib30x3.js,11,3,candidate,5066971967,919222460,f3cb9927b69c642ccc86f00960a34476e3ae2c77931a68c94b632392adabaedd
fib30x3.js,11,4,candidate,5067094144,916712007,f3cb9927b69c642ccc86f00960a34476e3ae2c77931a68c94b632392adabaedd
fib30x3.js,11,5,dual,5083197459,934937065,f3cb9927b69c642ccc86f00960a34476e3ae2c77931a68c94b632392adabaedd
fib30x3.js,11,6,guard,5426541117,976250784,f3cb9927b69c642ccc86f00960a34476e3ae2c77931a68c94b632392adabaedd
fib30x3.js,12,1,guard,5426624831,1003619786,f3cb9927b69c642ccc86f00960a34476e3ae2c77931a68c94b632392adabaedd
fib30x3.js,12,2,dual,5083168641,917180230,f3cb9927b69c642ccc86f00960a34476e3ae2c77931a68c94b632392adabaedd
fib30x3.js,12,3,candidate,5066950604,918799328,f3cb9927b69c642ccc86f00960a34476e3ae2c77931a68c94b632392adabaedd
fib30x3.js,12,4,candidate,5067108217,922097355,f3cb9927b69c642ccc86f00960a34476e3ae2c77931a68c94b632392adabaedd
fib30x3.js,12,5,dual,5083152308,914054784,f3cb9927b69c642ccc86f00960a34476e3ae2c77931a68c94b632392adabaedd
fib30x3.js,12,6,guard,5426667728,975923128,f3cb9927b69c642ccc86f00960a34476e3ae2c77931a68c94b632392adabaedd
fib30x3.js,13,1,guard,5426538613,975831587,f3cb9927b69c642ccc86f00960a34476e3ae2c77931a68c94b632392adabaedd
fib30x3.js,13,2,dual,5083057272,913963123,f3cb9927b69c642ccc86f00960a34476e3ae2c77931a68c94b632392adabaedd
fib30x3.js,13,3,candidate,5067070825,916781126,f3cb9927b69c642ccc86f00960a34476e3ae2c77931a68c94b632392adabaedd
fib30x3.js,13,4,candidate,5067006875,921435516,f3cb9927b69c642ccc86f00960a34476e3ae2c77931a68c94b632392adabaedd
fib30x3.js,13,5,dual,5083252057,920660963,f3cb9927b69c642ccc86f00960a34476e3ae2c77931a68c94b632392adabaedd
fib30x3.js,13,6,guard,5426644848,978390339,f3cb9927b69c642ccc86f00960a34476e3ae2c77931a68c94b632392adabaedd
fib30x3.js,14,1,guard,5426649634,976616736,f3cb9927b69c642ccc86f00960a34476e3ae2c77931a68c94b632392adabaedd
fib30x3.js,14,2,dual,5083150798,919418657,f3cb9927b69c642ccc86f00960a34476e3ae2c77931a68c94b632392adabaedd
fib30x3.js,14,3,candidate,5067021359,914922499,f3cb9927b69c642ccc86f00960a34476e3ae2c77931a68c94b632392adabaedd
fib30x3.js,14,4,candidate,5066890034,917909419,f3cb9927b69c642ccc86f00960a34476e3ae2c77931a68c94b632392adabaedd
fib30x3.js,14,5,dual,5083184154,914706696,f3cb9927b69c642ccc86f00960a34476e3ae2c77931a68c94b632392adabaedd
fib30x3.js,14,6,guard,5426672678,978596970,f3cb9927b69c642ccc86f00960a34476e3ae2c77931a68c94b632392adabaedd
fib30x3.js,15,1,guard,5426606642,976965318,f3cb9927b69c642ccc86f00960a34476e3ae2c77931a68c94b632392adabaedd
fib30x3.js,15,2,dual,5083125939,914481811,f3cb9927b69c642ccc86f00960a34476e3ae2c77931a68c94b632392adabaedd
fib30x3.js,15,3,candidate,5067002955,922009820,f3cb9927b69c642ccc86f00960a34476e3ae2c77931a68c94b632392adabaedd
fib30x3.js,15,4,candidate,5067064691,921156856,f3cb9927b69c642ccc86f00960a34476e3ae2c77931a68c94b632392adabaedd
fib30x3.js,15,5,dual,5083144131,913387116,f3cb9927b69c642ccc86f00960a34476e3ae2c77931a68c94b632392adabaedd
fib30x3.js,15,6,guard,5426617763,978101899,f3cb9927b69c642ccc86f00960a34476e3ae2c77931a68c94b632392adabaedd
call-add-two-arg-10m.js,1,1,guard,8166904627,1274950076,eafaccb921179b51e3f61ee8c8456e9bc1a20f7c33f74ec040a8596de244eb2e
call-add-two-arg-10m.js,1,2,dual,8015856498,1252841345,eafaccb921179b51e3f61ee8c8456e9bc1a20f7c33f74ec040a8596de244eb2e
