engine,case,sample,instructions,cycles,task_clock_ms
before,N6_fcall,2,23887109229,3818076058,979260880.000
before,N5_push_pop,2,23564882401,4780192964,1225793248.000
before,N4_hasown_string,2,33763888446,6278458881,1609983856.000
before,N3d_codepointat,2,29703996629,5312381716,1362248160.000
before,N3c_at,2,47014139873,7723376405,1980675360.000
before,N3b_charat,2,69727840228,13427848769,3443390144.000
before,N3_charcodeat,2,27653060602,5026666305,1289005120.000
before,N2_max3_variadic,2,21011754402,3414677300,875630624.000
before,N1m_abs_method,2,15260210146,2722586024,698150064.000
before,N1_abs_hoisted,2,12808325564,1909436259,489665552.000
before,ctrl,2,10152460286,1801071167,461855712.000
before,empty,2,2920707,2087528,537584.000
before,empty,3,2895895,1860948,479696.000
before,ctrl,3,10152509325,1796342167,460643664.000
before,N1_abs_hoisted,3,12808421202,1910703522,489971392.000
before,N1m_abs_method,3,15260205542,2722229563,698054448.000
before,N2_max3_variadic,3,21011762506,3400774447,872051296.000
before,N3_charcodeat,3,27652631583,5030819862,1290036448.000
before,N3b_charat,3,69264370206,13364984493,3427178928.000
before,N3c_at,3,46524639478,7805999037,2001763376.000
before,N3d_codepointat,3,29702816895,5265411662,1350190336.000
before,N4_hasown_string,3,33763099633,6260283127,1605302432.000
before,N5_push_pop,3,23565138284,4786811740,1227882288.000
before,N6_fcall,3,23887541093,3816888794,979608656.000
before,N7_fapply,3,33369216233,6340805348,1626961840.000
before,C1_foreach8,3,25069062723,4818899959,1236385392.000
before,C2_reduce8,3,33183200742,6133258845,1572886448.000
before,C3_map8,3,43585917752,8032748506,2059890720.000
before,C4_sort8,3,15986437042,3131268760,802978352.000
before,C5_replace_fn,3,41764288534,9793164371,2511432416.000
after,empty,3,2902176,2374297,611568.000
after,ctrl,3,10152533255,1823302326,467754752.000
after,N1_abs_hoisted,3,12808482917,1907027296,489073632.000
after,N1m_abs_method,3,15310617031,2721912237,697995328.000
after,N2_max3_variadic,3,21512282701,3441344459,882553104.000
after,N3_charcodeat,3,19498578857,3174744111,814099936.000
after,N3b_charat,3,35855132729,5677030636,1455859584.000
after,N3c_at,3,37617905470,5966837891,1530218080.000
after,N3d_codepointat,3,19548561825,3141276613,805542832.000
after,N4_hasown_string,3,34714344145,6416473992,1645393856.000
after,N5_push_pop,3,23940857877,4821905568,1236472336.000
after,N6_fcall,3,23962593277,3857608552,989203936.000
after,N7_fapply,3,33843860125,6373748440,1634408304.000
after,C1_foreach8,3,25048855644,4838365626,1240687152.000
after,C2_reduce8,3,33162774469,6108305675,1566337296.000
after,C3_map8,3,43575924851,8096055920,2076105040.000
after,C4_sort8,3,15978141669,3111096980,797772112.000
after,C5_replace_fn,3,41850792306,9907996889,2540722960.000
qjs,empty,3,2272455,1639354,423088.000
qjs,ctrl,3,15346075876,2074587401,531982480.000
qjs,N1_abs_hoisted,3,21460436181,3376695010,865877168.000
qjs,N1m_abs_method,3,25063629361,4507888208,1155950848.000
qjs,N2_max3_variadic,3,24361810237,3769034949,966487296.000
qjs,N3_charcodeat,3,32957923999,4860174633,1246330864.000
qjs,N3b_charat,3,45769210291,6590362138,1690038208.000
qjs,N3c_at,3,47369340526,6772802721,1736725664.000
qjs,N3d_codepointat,3,33357889867,4951260356,1269647584.000
qjs,N4_hasown_string,3,46007958474,6974334252,1788411712.000
qjs,N5_push_pop,3,33590060466,5162390996,1323780464.000
qjs,N6_fcall,3,17985021550,3051075105,782381968.000
qjs,N7_fapply,3,28913319299,4418930830,1133132288.000
