engine,case,sample,instructions,cycles,task_clock_ms
qjs,C3_map8,4,43391940605,6120375870,1569444496.000
qjs,C2_reduce8,4,21469550725,2882365158,739191280.000
qjs,C1_foreach8,4,22455400707,2969576923,761486496.000
qjs,N7_fapply,4,28912809773,4426887293,1135206112.000
qjs,N6_fcall,4,17984743812,3061310934,785004688.000
qjs,N5_push_pop,4,33589726210,5165148567,1324493856.000
qjs,N4_hasown_string,4,46008283687,7015343173,1798927152.000
qjs,N3_charcodeat,4,32957774469,4858389231,1245834752.000
qjs,N2_max3_variadic,4,24361526732,3776518953,968411152.000
qjs,N1m_abs_method,4,25063194025,4524098695,1159427872.000
qjs,N1_abs_hoisted,4,21460603797,3380408020,866878944.000
qjs,ctrl,4,15346110201,2031757986,521014096.000
qjs,empty,4,2264103,1709793,440528.000
zjs,C5_replace_fn,4,42425249269,9923673636,2544841648.000
zjs,C4_sort8,4,16307075391,3447355057,882153984.000
zjs,C3_map8,4,44146501210,8356398870,2142653744.000
zjs,C2_reduce8,4,34073452193,6456382225,1655594688.000
zjs,C1_foreach8,4,25767830206,4734335309,1214015680.000
zjs,N7_fapply,4,34318508731,6552415648,1679841232.000
zjs,N6_fcall,4,23736949801,3775055996,968036432.000
zjs,N5_push_pop,4,24364764180,4816568355,1235098704.000
zjs,N4_hasown_string,4,33613302839,5939221702,1522975568.000
zjs,N3_charcodeat,4,28531356795,4999359438,1281972448.000
zjs,N2_max3_variadic,4,20511909267,3290343684,843745424.000
zjs,N1m_abs_method,4,25266563841,5217530999,1337926608.000
zjs,N1_abs_hoisted,4,21112406456,3496141622,896510352.000
zjs,ctrl,4,10152396098,1819759085,466643808.000
zjs,empty,4,2891098,2301315,592128.000
