engine,case,sample,instructions,cycles,task_clock_ms
qjs,C3_map8,4,43415847446,6060314043,1554149456.000
qjs,C2_reduce8,4,21468814308,2869347997,735946448.000
qjs,C1_foreach8,4,22455005149,2947283276,755764448.000
qjs,N7_fapply,4,28912199065,4418627912,1132519472.000
qjs,N6_fcall,4,17984357330,3050656496,782287712.000
qjs,N5_push_pop,4,33589188588,5177010618,1327524624.000
qjs,N4_hasown_string,4,46006907146,7009690815,1797469840.000
qjs,N3_charcodeat,4,32956642344,4893426518,1254152448.000
qjs,N2_max3_variadic,4,24360925102,3765692850,965622528.000
qjs,N1m_abs_method,4,25062483686,4534414158,1162745984.000
qjs,N1_abs_hoisted,4,21459833693,3374118030,865213312.000
qjs,ctrl,4,15345652180,2033518767,521451760.000
qjs,empty,4,2261689,1598260,411664.000
zjs,C5_replace_fn,4,42310488905,9940516881,2549028208.000
zjs,C4_sort8,4,15929463258,3065884876,786174928.000
zjs,C3_map8,4,43636925739,8103378153,2077958256.000
zjs,C2_reduce8,4,33296557212,6104158872,1565286368.000
zjs,C1_foreach8,4,25173055995,4803238451,1231691312.000
zjs,N7_fapply,4,33642002175,6225756913,1595768032.000
zjs,N6_fcall,4,23811242006,3782286098,969878816.000
zjs,N5_push_pop,4,24363689286,4774351419,1224268336.000
zjs,N4_hasown_string,4,34712625153,6088890690,1561351056.000
zjs,N3_charcodeat,4,28552010773,5015967552,1286224864.000
zjs,N2_max3_variadic,4,20511514719,3358521583,861216688.000
zjs,N1m_abs_method,4,25264783714,4823510482,1236880016.000
zjs,N1_abs_hoisted,4,21111723383,3461691074,887677680.000
zjs,ctrl,4,10152308699,1799046699,461327408.000
zjs,empty,4,2974069,1926236,495552.000
