engine,case,sample,instructions,cycles,task_clock_ms
qjs,C3_map8,4,43371165614,6104155235,1565261104.000
qjs,C2_reduce8,4,21468978685,2891290244,741403472.000
qjs,C1_foreach8,4,22455191403,2948893313,756176752.000
qjs,N7_fapply,4,28913185344,4428334430,1135611872.000
qjs,N6_fcall,4,17985079251,3191507020,818499632.000
qjs,N5_push_pop,4,33589721211,5202082924,1333967504.000
qjs,N4_hasown_string,4,46007745616,6982968164,1790615232.000
qjs,N3_charcodeat,4,32957807637,4858922342,1245976992.000
qjs,N2_max3_variadic,4,24361069874,3776513457,968397856.000
qjs,N1m_abs_method,4,25062992994,4520854594,1159270416.000
qjs,N1_abs_hoisted,4,21460282632,3376499775,865825584.000
qjs,ctrl,4,15345868603,2081857902,533846672.000
qjs,empty,4,2272966,1600978,412064.000
zjs,C5_replace_fn,4,41757664568,9706432163,2489019184.000
zjs,C4_sort8,4,15969884505,3094565279,793529824.000
zjs,C3_map8,4,43494165616,8048088146,2063767056.000
zjs,C2_reduce8,4,33143228147,6112524660,1567415040.000
zjs,C1_foreach8,4,25029092056,4814292446,1234511856.000
zjs,N7_fapply,4,33694168226,6340789292,1625945200.000
zjs,N6_fcall,4,23888128675,4015996091,1029806384.000
zjs,N5_push_pop,4,23689940555,4816932213,1235188224.000
zjs,N4_hasown_string,4,34414097632,6326478740,1622272736.000
zjs,N3_charcodeat,4,28303041886,5005630631,1283573360.000
zjs,N2_max3_variadic,4,21561889115,3453758465,885634576.000
zjs,N1m_abs_method,4,15260340610,2720032955,697489776.000
zjs,N1_abs_hoisted,4,12808399353,1906640489,488915952.000
zjs,ctrl,4,10152563607,1812498959,464776208.000
zjs,empty,4,2915856,2342434,602752.000
