engine,case,sample,instructions,cycles,task_clock_ms
qjs,C3_map8,4,43371937945,6354558884,1629493008.000
qjs,C2_reduce8,4,21468768260,2872890107,735641040.000
qjs,C1_foreach8,4,22455091055,2947528098,755826880.000
qjs,N7_fapply,4,28912623487,4432301282,1136567856.000
qjs,N6_fcall,4,17984415678,3051672600,782532352.000
qjs,N5_push_pop,4,33589205205,5153021169,1321369904.000
qjs,N4_hasown_string,4,46007132987,6991657011,1792861472.000
qjs,N3_charcodeat,4,32957231810,4859321665,1246057984.000
qjs,N2_max3_variadic,4,24361091459,3774027308,967766096.000
qjs,N1m_abs_method,4,25062873433,4530092853,1159366240.000
qjs,N1_abs_hoisted,4,21460097695,3378100892,853349792.000
qjs,ctrl,4,15345770283,2034396788,514019184.000
qjs,empty,4,2271820,1555818,401184.000
zjs,C5_replace_fn,4,41790716946,9613605291,2445818464.000
zjs,C4_sort8,4,14296676502,2698385325,691939664.000
zjs,C3_map8,4,40705935432,7493878180,1910479968.000
zjs,C2_reduce8,4,21132061642,4136035462,1060600672.000
zjs,C1_foreach8,4,22230897862,4144447477,1052423216.000
zjs,N7_fapply,4,33442227765,6257301863,1604534992.000
zjs,N6_fcall,4,23936837813,3832524288,982729312.000
zjs,N5_push_pop,4,23688961472,4692879768,1203396000.000
zjs,N4_hasown_string,4,34413129741,6340822102,1625958704.000
zjs,N3_charcodeat,4,28280539682,5010173856,1284739040.000
zjs,N2_max3_variadic,4,21561366813,3410966174,874663888.000
zjs,N1m_abs_method,4,15259815891,2723914664,697996880.000
zjs,N1_abs_hoisted,4,12807936022,1921925462,492835200.000
zjs,ctrl,4,10152219787,1807301091,463441824.000
zjs,empty,4,2897269,2100717,540176.000
