p780_L0_skeleton,zjs,36057892,,armv8_pmuv3_1/mem_access/,4002160,100.00,,
p780_L0_skeleton,zjs,75216950,,armv8_pmuv3_1/instructions/,3945424,100.00,4.89,insn per cycle
p780_L0_skeleton,zjs,15374795,,armv8_pmuv3_1/cycles/,3945424,100.00,,
p780_L0_skeleton,zjs,1546435,,armv8_pmuv3_1/stall_frontend/,3945424,100.00,,
p780_L0_skeleton,zjs,36008908,,armv8_pmuv3_1/mem_access/,3945424,100.00,,
p780_L0_skeleton,qjs,72443774,,armv8_pmuv3_1/instructions/,3583344,100.00,5.19,insn per cycle
p780_L0_skeleton,qjs,13965549,,armv8_pmuv3_1/cycles/,3583344,100.00,,
p780_L0_skeleton,qjs,839919,,armv8_pmuv3_1/stall_frontend/,3583344,100.00,,
p780_L0_skeleton,qjs,26373549,,armv8_pmuv3_1/mem_access/,3583344,100.00,,
p780_L1_build,qjs,211278780,,armv8_pmuv3_1/instructions/,9119152,100.00,5.94,insn per cycle
p780_L1_build,qjs,35551668,,armv8_pmuv3_1/cycles/,9119152,100.00,,
p780_L1_build,qjs,873367,,armv8_pmuv3_1/stall_frontend/,9119152,100.00,,
p780_L1_build,qjs,69818446,,armv8_pmuv3_1/mem_access/,9119152,100.00,,
p780_L1_build,zjs,216792207,,armv8_pmuv3_1/instructions/,11588576,100.00,4.80,insn per cycle
p780_L1_build,zjs,45179800,,armv8_pmuv3_1/cycles/,11588576,100.00,,
p780_L1_build,zjs,2215185,,armv8_pmuv3_1/stall_frontend/,11588576,100.00,,
p780_L1_build,zjs,104836116,,armv8_pmuv3_1/mem_access/,11588576,100.00,,
p780_L1_build,zjs,216849305,,armv8_pmuv3_1/instructions/,11515216,100.00,4.83,insn per cycle
p780_L1_build,zjs,44889854,,armv8_pmuv3_1/cycles/,11515216,100.00,,
p780_L1_build,zjs,1989095,,armv8_pmuv3_1/stall_frontend/,11515216,100.00,,
p780_L1_build,zjs,104962311,,armv8_pmuv3_1/mem_access/,11515216,100.00,,
p780_L1_build,qjs,211354455,,armv8_pmuv3_1/instructions/,9121808,100.00,5.94,insn per cycle
p780_L1_build,qjs,35560200,,armv8_pmuv3_1/cycles/,9121808,100.00,,
p780_L1_build,qjs,849154,,armv8_pmuv3_1/stall_frontend/,9121808,100.00,,
p780_L1_build,qjs,69849549,,armv8_pmuv3_1/mem_access/,9121808,100.00,,
p780_L1_build,qjs,211379927,,armv8_pmuv3_1/instructions/,9243552,100.00,5.87,insn per cycle
p780_L1_build,qjs,36034217,,armv8_pmuv3_1/cycles/,9243552,100.00,,
p780_L1_build,qjs,818916,,armv8_pmuv3_1/stall_frontend/,9243552,100.00,,
p780_L1_build,qjs,69846482,,armv8_pmuv3_1/mem_access/,9243552,100.00,,
p780_L1_build,zjs,216843406,,armv8_pmuv3_1/instructions/,11592176,100.00,4.80,insn per cycle
p780_L1_build,zjs,45194781,,armv8_pmuv3_1/cycles/,11592176,100.00,,
p780_L1_build,zjs,2149167,,armv8_pmuv3_1/stall_frontend/,11592176,100.00,,
p780_L1_build,zjs,104926458,,armv8_pmuv3_1/mem_access/,11592176,100.00,,
p780_L1_build,zjs,216843328,,armv8_pmuv3_1/instructions/,11574784,100.00,4.81,insn per cycle
p780_L1_build,zjs,45122420,,armv8_pmuv3_1/cycles/,11574784,100.00,,
p780_L1_build,zjs,1859549,,armv8_pmuv3_1/stall_frontend/,11574784,100.00,,
p780_L1_build,zjs,105002584,,armv8_pmuv3_1/mem_access/,11574784,100.00,,
p780_L1_build,qjs,211322685,,armv8_pmuv3_1/instructions/,9136592,100.00,5.93,insn per cycle
p780_L1_build,qjs,35617975,,armv8_pmuv3_1/cycles/,9136592,100.00,,
p780_L1_build,qjs,982596,,armv8_pmuv3_1/stall_frontend/,9136592,100.00,,
p780_L1_build,qjs,69831190,,armv8_pmuv3_1/mem_access/,9136592,100.00,,
p780_L1_build,qjs,211405875,,armv8_pmuv3_1/instructions/,9175568,100.00,5.91,insn per cycle
p780_L1_build,qjs,35766272,,armv8_pmuv3_1/cycles/,9175568,100.00,,
p780_L1_build,qjs,979677,,armv8_pmuv3_1/stall_frontend/,9175568,100.00,,
p780_L1_build,qjs,69867716,,armv8_pmuv3_1/mem_access/,9175568,100.00,,
p780_L1_build,zjs,216795877,,armv8_pmuv3_1/instructions/,11622528,100.00,4.78,insn per cycle
p780_L1_build,zjs,45312144,,armv8_pmuv3_1/cycles/,11622528,100.00,,
p780_L1_build,zjs,2083779,,armv8_pmuv3_1/stall_frontend/,11622528,100.00,,
p780_L1_build,zjs,104806661,,armv8_pmuv3_1/mem_access/,11622528,100.00,,
p780_L1_build,zjs,216683702,,armv8_pmuv3_1/instructions/,11522144,100.00,4.82,insn per cycle
p780_L1_build,zjs,44927315,,armv8_pmuv3_1/cycles/,11522144,100.00,,
p780_L1_build,zjs,1765253,,armv8_pmuv3_1/stall_frontend/,11522144,100.00,,
p780_L1_build,zjs,104909231,,armv8_pmuv3_1/mem_access/,11522144,100.00,,
p780_L1_build,qjs,211281483,,armv8_pmuv3_1/instructions/,9152496,100.00,5.92,insn per cycle
p780_L1_build,qjs,35682112,,armv8_pmuv3_1/cycles/,9152496,100.00,,
p780_L1_build,qjs,929603,,armv8_pmuv3_1/stall_frontend/,9152496,100.00,,
p780_L1_build,qjs,69833627,,armv8_pmuv3_1/mem_access/,9152496,100.00,,
p780_L1_build,qjs,211435836,,armv8_pmuv3_1/instructions/,9176208,100.00,5.91,insn per cycle
p780_L1_build,qjs,35769715,,armv8_pmuv3_1/cycles/,9176208,100.00,,
p780_L1_build,qjs,913015,,armv8_pmuv3_1/stall_frontend/,9176208,100.00,,
p780_L1_build,qjs,69871551,,armv8_pmuv3_1/mem_access/,9176208,100.00,,
p780_L1_build,zjs,216737625,,armv8_pmuv3_1/instructions/,11641360,100.00,4.78,insn per cycle
p780_L1_build,zjs,45381800,,armv8_pmuv3_1/cycles/,11641360,100.00,,
p780_L1_build,zjs,2383053,,armv8_pmuv3_1/stall_frontend/,11641360,100.00,,
p780_L1_build,zjs,104913537,,armv8_pmuv3_1/mem_access/,11641360,100.00,,
p780_L1_build,zjs,216777864,,armv8_pmuv3_1/instructions/,11574576,100.00,4.80,insn per cycle
p780_L1_build,zjs,45126263,,armv8_pmuv3_1/cycles/,11574576,100.00,,
p780_L1_build,zjs,1908825,,armv8_pmuv3_1/stall_frontend/,11574576,100.00,,
p780_L1_build,zjs,104911997,,armv8_pmuv3_1/mem_access/,11574576,100.00,,
p780_L1_build,qjs,211227020,,armv8_pmuv3_1/instructions/,9124960,100.00,5.94,insn per cycle
p780_L1_build,qjs,35577777,,armv8_pmuv3_1/cycles/,9124960,100.00,,
