binary,case,sample,instructions,cycles,task_clock_ns
zjs,J_instanceof,2,14455038188,2764816270,708976528
zjs,I_proto_method,2,9199405144,1773025678,454656816
zjs,H2_prop_write,2,10447638695,1554278201,398562624
zjs,H1_prop_read,2,8166520639,1280182991,328278656
zjs,G_raytrace_ctor,2,15332056436,2960829393,759240496
zjs,F_simple_ctor,2,11602122463,1757578332,450696672
zjs,E4_arguments_fourarg,2,17560196855,3008666196,771506448
zjs,E2_arguments_index,2,14223670610,2385677973,611756464
zjs,E1_arguments_length,2,13128295135,2158603119,553529696
zjs,E0_arguments_zeroarg,2,8286154788,1324580530,339662688
zjs,D_apply_arguments,2,13273777093,2456611816,629946608
zjs,C2_apply_array_hoisted,2,13040776291,2452948886,629004912
zjs,C_apply_array_literal,2,13190777121,2415325199,619359584
zjs,B_method_call,2,12958573162,2253228477,577792896
zjs,A2_direct_call_ret,2,12058233152,2058755948,527924752
zjs,A_direct_call,2,13118587052,2191204012,561888464
zjs,ctrl,2,18213189271,3062510466,785311952
zjs,empty,2,2458381,1836316,475856
zjs,empty,3,2450896,1625570,419312
zjs,ctrl,3,18213235043,3054753400,783325472
zjs,A_direct_call,3,13118521546,2195992617,563116208
zjs,A2_direct_call_ret,3,12058268182,2063810419,529227008
zjs,B_method_call,3,12958676089,2257250868,578828832
zjs,C_apply_array_literal,3,13190716625,2416897534,619761520
zjs,C2_apply_array_hoisted,3,13040847875,2468144270,632903280
zjs,D_apply_arguments,3,13273862199,2452737840,628953200
zjs,E0_arguments_zeroarg,3,8286096156,1325132789,339817696
zjs,E1_arguments_length,3,13128198734,2161116678,554188544
zjs,E2_arguments_index,3,14223707373,2387152731,612134128
zjs,E4_arguments_fourarg,3,17560190709,3014084637,772896208
zjs,F_simple_ctor,3,11652199162,1781061768,456718592
zjs,G_raytrace_ctor,3,15360331558,2972098697,762129104
zjs,H1_prop_read,3,8166654892,1283390040,329101920
zjs,H2_prop_write,3,10447518079,1539284567,394721728
zjs,I_proto_method,3,9199402261,1772616100,454549504
zjs,J_instanceof,3,14455037747,2772288396,710894944
zjs,K1_length_array,3,8446939033,1418612671,363778528
zjs,K2_length_plain,3,9167236007,1567145015,401864672
zjs,L0_ctor_noprops,3,8796875772,1583175157,405973520
zjs,L3_ctor_threeprops,3,13892923192,2085182450,534701712
zjs,M1_proto_data_read,3,8927034415,1437486672,368615024
zjs,L3p_ctor_shadowing,3,26138227127,4254247403,1090910368
zjs,M2_chain_read,3,3885336285,910795954,233556000
zjs,M3_poly_read,3,12689238557,2154135572,552386352
zjs,L4_generic_ctor,3,25992829600,4146072776,1063169040
zjs,L4p_generic_ctor_shadowing,3,25753071287,4112093883,1054456368
qjs,empty,3,2272639,1556495,401408
qjs,ctrl,3,20412245333,3701622006,949197296
qjs,A_direct_call,3,11767124504,1794990749,460288944
qjs,A2_direct_call_ret,3,11182104466,1819925508,466681584
qjs,B_method_call,3,11332184363,1878260081,481640000
qjs,C_apply_array_literal,3,10248587485,1631219432,418291776
qjs,C2_apply_array_hoisted,3,9834578741,1581765411,405611184
qjs,D_apply_arguments,3,8213826812,1504295414,385744976
qjs,E0_arguments_zeroarg,3,5285012936,950822828,243820048
qjs,E1_arguments_length,3,8066263922,1458760081,374068704
qjs,E2_arguments_index,3,8231386199,1486008189,381056064
qjs,E4_arguments_fourarg,3,10212198206,1829538288,469146576
qjs,F_simple_ctor,3,9651696323,1630426284,418087296
qjs,G_raytrace_ctor,3,8070350217,1440808590,369466256
qjs,H1_prop_read,3,8846629981,1558304094,399600400
qjs,H2_prop_write,3,11047169434,1766671677,453025552
qjs,I_proto_method,3,7086666731,1551938878,397963296
qjs,J_instanceof,3,9816687513,1551297837,397798992
qjs,K1_length_array,3,8846657128,1564420439,401163888
qjs,K2_length_plain,3,8846608934,1561295961,400361280
qjs,L0_ctor_noprops,3,4914617966,782772916,200730272
qjs,L3_ctor_threeprops,3,12222844628,2057639758,527640752
qjs,M1_proto_data_read,3,9246990176,1707893099,437954944
qjs,L3p_ctor_shadowing,3,12222739349,2008979085,515229936
qjs,M2_chain_read,3,4025274774,1045242514,268030960
qjs,M3_poly_read,3,13929138989,2498063803,640574704
qjs,L4_generic_ctor,3,12532842863,2079776179,533316976
qjs,L4p_generic_ctor_shadowing,3,12437879474,2022386559,518602256
qjs,L4p_generic_ctor_shadowing,4,12457733265,2033223849,521379152
qjs,L4_generic_ctor,4,12512875656,2086288860,534987696
qjs,M3_poly_read,4,13929244446,2493414863,639382432
qjs,M2_chain_read,4,4025377312,1033560306,265036960
qjs,L3p_ctor_shadowing,4,12222737291,2007923696,514888192
qjs,M1_proto_data_read,4,9247095123,1708156010,438020960
qjs,L3_ctor_threeprops,4,12292819717,2073117970,531608080
qjs,L0_ctor_noprops,4,4914574537,788742090,202258432
qjs,K2_length_plain,4,8846588321,1559552120,399914352
qjs,K1_length_array,4,8846648005,1569821084,402547872
qjs,J_instanceof,4,9816542674,1545972467,396432576
qjs,I_proto_method,4,7086510037,1546492066,396564736
qjs,H2_prop_write,4,11047027846,1748450246,448353040
qjs,H1_prop_read,4,8846557158,1571457645,402967616
qjs,G_raytrace_ctor,4,8070193484,1439198400,369051456
qjs,F_simple_ctor,4,9631657755,1622528473,416064384
qjs,E4_arguments_fourarg,4,10212173176,1829192320,469057968
qjs,E2_arguments_index,4,8231386116,1481176092,379818096
qjs,E1_arguments_length,4,8066179600,1469858738,376915328
qjs,E0_arguments_zeroarg,4,5284874459,947975383,243090096
qjs,D_apply_arguments,4,8213902340,1503799827,385618672
qjs,C2_apply_array_hoisted,4,9834683113,1587116405,406983856
qjs,C_apply_array_literal,4,10248651642,1631286499,418313776
qjs,B_method_call,4,11332208116,1883695068,483034768
qjs,A2_direct_call_ret,4,11182173773,1820728830,466899184
qjs,A_direct_call,4,11767181782,1786406109,458099664
qjs,ctrl,4,20412301527,3704986918,950076544
qjs,empty,4,2293642,1511634,389424
zjs,L4p_generic_ctor_shadowing,4,25753246269,4181425961,1072238944
zjs,L4_generic_ctor,4,25948380962,4137814172,1061058048
zjs,M3_poly_read,4,12689439855,2150097440,551355904
zjs,M2_chain_read,4,3885360826,912555567,234008432
zjs,L3p_ctor_shadowing,4,26093224509,4238488157,1086871920
zjs,M1_proto_data_read,4,8927058546,1438898584,368978096
zjs,L3_ctor_threeprops,4,13908117357,2113067375,541854016
zjs,L0_ctor_noprops,4,8796972190,1583377422,406025024
zjs,K2_length_plain,4,9167224423,1564883823,401286336
zjs,K1_length_array,4,8447020636,1418625182,363781168
zjs,J_instanceof,4,14455085409,2765161791,709068320
zjs,I_proto_method,4,9199518233,1772572010,454540544
zjs,H2_prop_write,4,10447564425,1556406945,399112800
zjs,H1_prop_read,4,8166639456,1279850741,328193712
zjs,G_raytrace_ctor,4,15322225025,2953824218,757451808
zjs,F_simple_ctor,4,11652381907,1783563815,457360368
zjs,E4_arguments_fourarg,4,17560214384,3014599366,773030080
zjs,E2_arguments_index,4,14223918657,2395898574,614378656
zjs,E1_arguments_length,4,13128280830,2164114319,554946608
zjs,E0_arguments_zeroarg,4,8286232918,1324507137,339645024
zjs,D_apply_arguments,4,13274034889,2512407757,644254272
zjs,C2_apply_array_hoisted,4,13040890648,2449040311,628006256
zjs,C_apply_array_literal,4,13190800029,2414652421,619184208
zjs,B_method_call,4,12958671524,2253139829,577768176
zjs,A2_direct_call_ret,4,12058388348,2101779489,538957104
zjs,A_direct_call,4,13118735573,2191664403,562006400
zjs,ctrl,4,18213383316,3080148121,789835568
zjs,empty,4,2452106,1702885,438352
zjs,empty,5,2442842,1552554,400272
zjs,ctrl,5,18213616080,3078595386,789437792
zjs,A_direct_call,5,13118679040,2230705413,572020880
zjs,A2_direct_call_ret,5,12058311442,2055748588,527155920
zjs,B_method_call,5,12958763007,2256192188,578566160
zjs,C_apply_array_literal,5,13190829131,2415396834,619395104
zjs,C2_apply_array_hoisted,5,13040917122,2449002782,627998480
zjs,D_apply_arguments,5,13274017701,2562614624,657131712
zjs,E0_arguments_zeroarg,5,8286182373,1324217227,339571584
zjs,E1_arguments_length,5,13127984164,2159361882,553814656
zjs,E2_arguments_index,5,14224027245,2420747721,620915680
zjs,E4_arguments_fourarg,5,17560299205,3021389527,774838704
zjs,F_simple_ctor,5,11702421589,1787766741,458448352
zjs,G_raytrace_ctor,5,15340280589,2959599418,758925664
zjs,H1_prop_read,5,8166556085,1279047420,327986480
zjs,H2_prop_write,5,10447558385,1517081174,389029296
zjs,I_proto_method,5,9199527613,1773258626,454715280
zjs,J_instanceof,5,14455265875,2771675804,710735312
zjs,K1_length_array,5,8447032602,1418382159,363719152
zjs,K2_length_plain,5,9167302343,1567306993,401905056
zjs,L0_ctor_noprops,5,8797017406,1583918876,406167136
zjs,L3_ctor_threeprops,5,13842921980,2069733758,530738720
zjs,M1_proto_data_read,5,8927047890,1440275696,369333920
