binary,case,sample,instructions,cycles
qjs,L3_ctor_threeprops,5,12222645171,2074492962
qjs,L4_generic_ctor,5,12552600591,2095789353
qjs,W0_fresh_object,5,3661609673,581614592
qjs,W1_newprop_writes,5,11009535159,1691494784
qjs,H1_prop_read,5,8846605282,1568431746
qjs,M1_proto_data_read,5,9246929160,1707860763
qjs,ctrl,6,20412025430,3718215400
qjs,empty,6,2293758,1462676
qjs,A_direct_call,6,11767005706,1784369665
qjs,A2_direct_call_ret,6,11182101592,1828417645
qjs,F_simple_ctor,6,9611529371,1612816212
qjs,L0_ctor_noprops,6,4914592068,783403971
qjs,L3_ctor_threeprops,6,12242554136,2046321409
qjs,L4_generic_ctor,6,12512652757,2076412956
qjs,W0_fresh_object,6,3661839389,580756494
qjs,W1_newprop_writes,6,11029423887,1695327854
qjs,H1_prop_read,6,8846529180,1580162696
qjs,M1_proto_data_read,6,9246726226,1704973641
zjs,ctrl,6,16412728212,2892786987
zjs,empty,6,2430507,2016881
zjs,A_direct_call,6,12908518979,2207137765
zjs,A2_direct_call_ret,6,11758154172,2052249999
zjs,F_simple_ctor,6,10241497680,1597862813
zjs,L0_ctor_noprops,6,6656045287,1214272505
zjs,L3_ctor_threeprops,6,12077342942,1833941331
zjs,L4_generic_ctor,6,15868899872,2495360404
zjs,W0_fresh_object,6,3478890395,568996092
zjs,W1_newprop_writes,6,12116612881,1674864652
zjs,H1_prop_read,6,7166386554,1220941288
zjs,M1_proto_data_read,6,7886786180,1384427881
zjs,ctrl,7,16412703760,2891299847
zjs,empty,7,2477656,1816754
zjs,A_direct_call,7,12908670852,2203298544
zjs,A2_direct_call_ret,7,11758174479,2050673664
zjs,F_simple_ctor,7,10241721833,1575411482
zjs,L0_ctor_noprops,7,6656112762,1215580907
zjs,L3_ctor_threeprops,7,12172411832,1844480481
zjs,L4_generic_ctor,7,15928942284,2503912555
zjs,W0_fresh_object,7,3478923182,567854376
zjs,W1_newprop_writes,7,12031534656,1661793294
zjs,H1_prop_read,7,7166321404,1221387150
zjs,M1_proto_data_read,7,7886737375,1381645780
qjs,ctrl,7,20412091809,3723667127
qjs,empty,7,2292150,1585500
qjs,A_direct_call,7,11767050212,1783039371
qjs,A2_direct_call_ret,7,11182089166,1820286797
qjs,F_simple_ctor,7,9631558419,1626321420
qjs,L0_ctor_noprops,7,4914623180,781938204
qjs,L3_ctor_threeprops,7,12222570636,2040393319
qjs,L4_generic_ctor,7,12532637127,2091986768
qjs,W0_fresh_object,7,3661678439,579891118
qjs,W1_newprop_writes,7,11034442385,1695384877
qjs,H1_prop_read,7,8846570980,1563211483
qjs,M1_proto_data_read,7,9246804700,1710800731
qjs,ctrl,8,20411974670,3722792676
qjs,empty,8,2289133,1551141
qjs,A_direct_call,8,11767110514,1787731377
qjs,A2_direct_call_ret,8,11182103728,1821455706
qjs,F_simple_ctor,8,9631554142,1618374409
qjs,L0_ctor_noprops,8,4914560745,780642173
qjs,L3_ctor_threeprops,8,12222706259,2068697165
qjs,L4_generic_ctor,8,12532745285,2084506859
qjs,W0_fresh_object,8,3661803765,584501595
qjs,W1_newprop_writes,8,11029416973,1696420101
qjs,H1_prop_read,8,8846504153,1560395058
qjs,M1_proto_data_read,8,9246797070,1713810968
zjs,ctrl,8,16412708699,2891671170
zjs,empty,8,2441141,1904438
zjs,A_direct_call,8,12908720551,2246850507
zjs,A2_direct_call_ret,8,11758113865,2051422867
zjs,F_simple_ctor,8,10291718424,1589285719
zjs,L0_ctor_noprops,8,6655997253,1213018116
zjs,L3_ctor_threeprops,8,12147205761,1833176800
zjs,L4_generic_ctor,8,15928867136,2503941399
zjs,W0_fresh_object,8,3478930532,568665504
zjs,W1_newprop_writes,8,12116664482,1674773828
zjs,H1_prop_read,8,7166329080,1218880744
zjs,M1_proto_data_read,8,7886794588,1383201527
